total_sitting_minutes,number_of_breaks,avg_break_duration_minutes,longest_sitting_streak_minutes,fatigue_level,age,daily_work_hours,bmi,sleep_hours,gender,work_type,fitness_level,day_of_week,time_of_day_dominant,device_preference,risk_level_encoded
340.2388970210421,4,3.770013438844876,221.4379932706452,5.661972888425344,19,10,19.92453738200012,4.859518962095244,0,1,1,4,1,1,2
395.02014624329775,4,4.808095080092429,291.76456891514107,8.335066837756973,45,5,16.257734059057007,4.3117169570065945,0,2,2,0,1,1,2
201.82161796914755,8,3.912248275386119,163.40911315387973,5.374609134023283,23,5,17.85610849798669,8.522519225011527,0,0,1,5,0,1,0
326.62411066282044,7,5.360238243869392,261.8118985552795,5.590103567633045,56,4,27.379291622627537,8.902329364962519,0,2,2,6,2,2,1
271.80115223902,8,5.964886207004146,166.24146101394794,4.81211334278329,50,10,27.51871926768938,7.868404140253107,0,2,1,2,2,0,0
337.8862682156236,3,4.007895297602887,146.8231983797544,2.879404388675596,38,4,18.44461049714029,7.56007824041666,1,2,2,5,2,1,1
234.90744851794932,7,5.5701321675294,170.3902709830876,1.465827118203384,42,7,20.40007332871604,6.391325061593125,1,1,2,1,1,0,0
282.70513714374306,5,4.938791717236984,152.1034645722877,7.016917847526804,40,7,29.595338678234963,8.427725961099371,1,1,2,6,2,1,1
191.965421196616,2,2.8043548010024786,170.34514653673477,1.7550396389330245,59,7,33.63493949038167,7.107930257901463,1,2,2,3,2,0,0
338.87306677786785,2,7.911654488030051,301.56398796872,4.974394509516154,26,4,26.830160328747723,5.374335611018692,1,2,1,3,3,1,2
269.0021545637302,3,2.1149756981816368,208.4356810877664,2.5991006118593267,21,5,20.239727867414373,5.819781082612675,0,2,1,6,0,0,1
283.59799075546675,2,3.6355612590021824,171.28303931951862,1.0,19,9,23.350924162175907,4.655104337624939,1,2,0,2,2,1,1
305.60306506925946,5,8.49960565136233,136.55453222166858,8.00013591785205,58,5,20.18342114745683,7.444933852814624,1,1,2,0,0,0,1
240.8491731264656,2,5.990803594111091,101.00477912927244,1.6396118783491258,34,5,29.78411971493969,7.955041324200793,1,1,2,1,1,0,0
275.3709644606752,7,3.15480290868368,165.11581011955943,4.367689408584419,27,11,22.72235886939968,7.334673920306368,1,2,1,4,0,0,0
